n;open
1;7,6214627
2;8,48089557
3;9,95292652
4;9,02433218
5;7,69006479
6;6,56941887
7;6,16139785
8;6,0793165
9;5,47160817
10;5,55014872
11;6,07230196
12;6,09878001
13;5,96353755
14;6,46806901
15;5,77399793
16;5,71245035
17;5,76140556
18;5,36024647
19;5,37410998
20;5,64400619
21;5,03921718
22;5,54835666
23;7,01456566
24;7,22948579
25;7,87272207
26;8,30374537
27;8,92336193
28;9,39709652
29;9,45782788
30;9,57929263
31;10,18151004
32;9,27077655
33;8,87796805
34;9,3819056
35;9,04069158
36;9,1434967
37;10,55016958
38;10,69857116
39;10,77751544
40;11,40052986
41;10,96247172
42;12,77874728
43;12,33789929
44;12,63059884
45;12,20161986
46;12,95461717
47;14,79282903
48;15,39716899
49;13,83601871
50;12,29821819
51;11,49853029
52;10,86211188
53;11,07446568
54;10,15609129
55;10,62514921
56;11,27156946
57;11,05223473
58;11,80358841
59;10,94168272
60;9,87741999
61;9,66966017
62;10,97529331
63;10,0962155
64;10,12625119
65;10,57482757
66;12,41059203
67;10,81609647
68;12,11587453
69;12,29375496
70;12,09549172
71;14,81456925
72;16,57099214
73;17,19368191
74;16,76974073
75;16,93054875
76;17,46395725
77;17,17615199
78;17,33682818
79;19,92338836
80;16,7042176
81;18,46036553
82;16,97594674
83;18,19871779
84;20,01729764
85;20,17256667
86;18,86038946
87;21,51294234
88;18,74670329
89;19,38538463
90;21,59841767
91;22,84358051
92;22,29243384
93;24,00550892
94;22,51369064
95;18,22388417
96;15,75583007
97;19,87588201
98;14,93801602
99;10,80548408
100;9,75943738
